"south africa, food & beverages",236
"south africa, photography",117
"south africa, architecture & planning",268
"south africa, environmental services",260
"south africa, food production",107
"south africa, import and export",121
"south africa, biotechnology",39
"south africa, philanthropy",31
"south africa, package/freight delivery",8
"south africa, writing and editing",50
"south africa, paper & forest products",26
"south africa, machinery",144
"south africa, mining & metals",489
"south africa, publishing",170
"south africa, wine and spirits",61
"south africa, leisure, travel & tourism",464
"south africa, apparel & fashion",139
"south africa, telecommunications",424
"south africa, executive office",62
"south africa, motion pictures and film",73
"south africa, information services",107
"south africa, accounting",423
"south africa, primary/secondary education",25
"south africa, investment management",219
"south africa, cosmetics",64
"south africa, wholesale",123
"south africa, venture capital & private equity",68
"south africa, civic & social organization",70
"south africa, legal services",268
"south africa, museums and institutions",10
"south africa, building materials",133
"south africa, entertainment",214
"south africa, sporting goods",41
"south africa, fine art",25
"south africa, luxury goods & jewelry",50
"south africa, capital markets",26
"south africa, outsourcing/offshoring",56
"south africa, airlines/aviation",85
"south africa, fund-raising",29
"south africa, nonprofit organization management",0
"south africa, research",156
"south africa, market research",67
"south africa, security and investigations",257
"south africa, international affairs",9
"south africa, consumer electronics",81
"south africa, computer games",16
"south africa, pharmaceuticals",68
"south africa, textiles",41
"south africa, law practice",262
"south africa, plastics",42
"south africa, public safety",25
"south africa, computer & network security",81
"south africa, computer networking",41
"south africa, political organization",6
"south africa, mental health care",34
"south africa, business supplies and equipment",218
"south africa, packaging and containers",57
"south africa, individual & family services",39
"south africa, international trade and development",85
"south africa, medical devices",76
"south africa, consumer goods",121
"south africa, broadcast media",130
"south africa, computer hardware",58
"south africa, program development",35
"south africa, libraries",2
"south africa, veterinary",15
"south africa, supermarkets",0
"south africa, animation",30
"south africa, industrial automation",96
"south africa, banking",46
"south africa, wireless",15
"south africa, recreational facilities and services",30
"south africa, dairy",6
"south africa, nanotechnology",2
"south africa, commercial real estate",62
"south africa, gambling & casinos",24
"south africa, glass, ceramics & concrete",17
"south africa, performing arts",20
"south africa, think tanks",39
"south africa, translation and localization",27
"south africa, shipbuilding",7
"south africa, railroad manufacture",4
"south africa, judiciary",2
"south africa, public policy",18
"south africa, legislative office",7
"south africa, fishery",4
"south africa, semiconductors",3
"south africa, government relations",17
"south africa, ranching",3
"south africa, alternative medicine",13
"south africa, newspapers",23
"south africa, tobacco",3
"italy, military",25
"italy, music",578
"italy, education management",701
"italy, alternative dispute resolution",55
"italy, insurance",778
"italy, hospitality",1357
"italy, medical practice",765
"italy, chemicals",1031
"italy, management consulting",4072
"italy, computer software",2506
"italy, facilities services",498
"italy, printing",705
"italy, human resources",918
"italy, hospital & health care",861
"italy, retail",1310
"italy, media production",683
"italy, health, wellness and fitness",1097
"italy, investment banking",123
"italy, staffing and recruiting",261
"italy, restaurants",826
"italy, civil engineering",803
"italy, construction",2979
"italy, internet",2897
"italy, professional training & coaching",1849
"italy, consumer services",210
"italy, law enforcement",26
"italy, information technology and services",9191
"italy, e-learning",212
"italy, events services",1356
"italy, defense & space",101
"italy, graphic design",732
"italy, religious institutions",38
"italy, warehousing",71
"italy, maritime",324
"italy, sports",883
"italy, marketing and advertising",6014
"italy, higher education",389
"italy, furniture",1859
"italy, aviation & aerospace",283
"italy, transportation/trucking/railroad",774
"italy, mechanical or industrial engineering",2758
"italy, farming",519
"italy, automotive",1870
"italy, government administration",208
"italy, electrical/electronic manufacturing",1449
"italy, real estate",1469
"italy, design",1866
"italy, public relations and communications",610
"italy, oil & energy",975
"italy, arts and crafts",451
"italy, logistics and supply chain",650
"italy, financial services",1352
"italy, renewables & environment",1963
"italy, online media",555
"italy, non-profit organization management",631
"italy, utilities",370
"italy, food & beverages",2066
"italy, photography",500
"italy, architecture & planning",1907
"italy, environmental services",1020
"italy, food production",814
"italy, import and export",342
"italy, biotechnology",364
"italy, philanthropy",69
"italy, package/freight delivery",190
"italy, writing and editing",129
"italy, paper & forest products",171
"italy, machinery",2648
"italy, mining & metals",619
"italy, publishing",1171
"italy, wine and spirits",635
"italy, leisure, travel & tourism",1600
"italy, apparel & fashion",2358
"italy, telecommunications",1328
"italy, executive office",71
"italy, motion pictures and film",615
"italy, information services",521
"italy, accounting",747
"italy, primary/secondary education",170
"italy, investment management",184
"italy, cosmetics",616
"italy, wholesale",520
"italy, venture capital & private equity",150
"italy, civic & social organization",653
"italy, legal services",981
"italy, museums and institutions",147
"italy, building materials",687
"italy, entertainment",652
"italy, sporting goods",242
"italy, fine art",251
"italy, luxury goods & jewelry",633
"italy, capital markets",28
"italy, outsourcing/offshoring",223
"italy, airlines/aviation",194
"italy, fund-raising",79
"italy, nonprofit organization management",4
"italy, research",865
"italy, market research",197
"italy, security and investigations",443
"italy, international affairs",195
"italy, consumer electronics",484
"italy, computer games",183
"italy, pharmaceuticals",581
"italy, textiles",861
"italy, law practice",526
"italy, plastics",679
"italy, public safety",40
"italy, computer & network security",215
"italy, computer networking",135
"italy, political organization",48
"italy, mental health care",149
"italy, business supplies and equipment",998
"italy, packaging and containers",474
"italy, individual & family services",670
"italy, international trade and development",769
"italy, medical devices",680
"italy, consumer goods",954
"italy, broadcast media",374
"italy, computer hardware",216
"italy, program development",161
"italy, libraries",28
"italy, veterinary",62
"italy, supermarkets",166
"italy, animation",72
"italy, industrial automation",1268
"italy, banking",331
"italy, wireless",57
"italy, recreational facilities and services",231
"italy, dairy",56
"italy, nanotechnology",64
"italy, commercial real estate",70
"italy, gambling & casinos",77
"italy, glass, ceramics & concrete",197
"italy, performing arts",302
"italy, think tanks",111
"italy, translation and localization",257
"italy, shipbuilding",165
"italy, railroad manufacture",92
"italy, judiciary",102
"italy, public policy",105
"italy, legislative office",2
"italy, fishery",24
"italy, semiconductors",54
"italy, government relations",60
"italy, ranching",44
"italy, alternative medicine",53
"italy, newspapers",100
"italy, tobacco",38
"japan, military",3
"japan, music",69
"japan, education management",159
"japan, alternative dispute resolution",0
"japan, insurance",26
"japan, hospitality",65
"japan, medical practice",15
"japan, chemicals",109
"japan, management consulting",296
"japan, computer software",432
"japan, facilities services",41
"japan, printing",30
"japan, human resources",130
"japan, hospital & health care",50
"japan, retail",95
"japan, media production",107
"japan, health, wellness and fitness",80
"japan, investment banking",21
"japan, staffing and recruiting",173
"japan, restaurants",36
"japan, civil engineering",41
"japan, construction",106
"japan, internet",397
"japan, professional training & coaching",91
"japan, consumer services",54
"japan, law enforcement",0
"japan, information technology and services",969
"japan, e-learning",36
"japan, events services",52
"japan, defense & space",12
"japan, graphic design",39
"japan, religious institutions",3
"japan, warehousing",4
"japan, maritime",23
"japan, sports",55
"japan, marketing and advertising",399
"japan, higher education",53
"japan, furniture",12
"japan, aviation & aerospace",29
"japan, transportation/trucking/railroad",35
