Industry,Country,Total_employee_estimate_mean,Total_employee_estimate_std,mean_size,max_size
civil engineering,42915,34.622416404520564,465.5683245174882,14.846137714085984,26008.0
mining & metals,29577,52.415153666700476,595.5134473101152,23.565878892382596,21569.0
education management,136745,37.67810157592599,377.3833113645596,19.39904932538667,47345.0
information services,23235,25.23184850441145,471.6438645070456,10.846653755110824,19719.0
law enforcement,9361,45.1637645550689,360.9613145569193,23.665527187266317,7686.0
transportation/trucking/railroad,58803,30.038994609118582,635.144400534144,15.341054027855721,59712.0
individual & family services,29536,20.02011105092091,141.05271868802615,9.433843445287108,8759.0
program development,13767,9.509043364567443,77.11527503827652,4.506137865911237,3438.0
research,39646,-232643193180950.94,4.632170765089628e+16,27.546082833072692,22025.0
renewables & environment,49128,17.13928920371275,179.30762978764932,7.766630027682788,8130.0
graphic design,47494,5.112014149155683,59.973785012428785,2.9580789152313978,8295.0
outsourcing/offshoring,13925,90.06240574506283,1125.5267258221786,32.49048473967684,20979.0
entertainment,89128,23.2744143254645,456.85645309748037,7.720850911049277,19839.0
semiconductors,7485,126.64288577154309,1993.849976984041,51.05878423513694,64046.0
automotive,104143,42.39584993710571,886.003307653243,19.132615730293924,65335.0
public safety,11172,25.308539205155746,249.00319562375373,13.740511994271392,6832.0
religious institutions,29537,15.027626366929614,140.27476428461367,7.770423536581237,6042.0
electrical/electronic manufacturing,74496,38.71444104381443,1319.4358509939411,17.101723582474225,87381.0
chemicals,31454,50.71456730463534,762.4753491233463,23.813791568639918,29673.0
maritime,19362,29.47944427228592,262.8246342426399,13.501032951141411,7160.0
venture capital & private equity,18686,12.136037675264904,49.37874460888615,5.452477790859467,944.0
publishing,44375,29.465014084507043,287.94373783131215,10.47369014084507,42341.0
sporting goods,15826,28.402754960192087,780.8954256448116,11.089346644761784,29731.0
motion pictures and film,24924,16.27640025678061,128.79887239302826,5.495907558979297,8410.0
logistics and supply chain,40049,45.87477839646433,734.2064445535003,20.845014856800418,42501.0
consumer services,59363,10.89112746997288,129.70806355896565,5.210366726748985,7728.0
higher education,50206,239.22395729594072,1444.3583051832484,95.31038122933514,17439.0
computer networking,14820,28.551349527665316,1162.9435407951353,12.571524966261808,61803.0
recreational facilities and services,13870,16.832804614275414,86.10315039027628,5.698413842826244,6499.0
building materials,40070,27.58876965310706,310.63533724667013,13.396031944097828,17859.0
human resources,76592,18.71157562147483,422.46169175232694,8.728000313348653,35686.0
wine and spirits,17517,22.04270137580636,345.5816265642482,9.26442884055489,12017.0
performing arts,18177,18.48269791494746,75.86586423581154,6.005061341255432,1503.0
market research,15397,32.07137754107943,366.4272222068935,11.080470221471716,7119.0
restaurants,41310,44.33144517066086,1313.9719424514246,14.151488743645606,68233.0
wholesale,45378,17.73443078143594,188.75970317196845,8.639142315659571,7394.0
security and investigations,30538,25.369113890890038,452.6338692442421,12.322516209312987,27599.0
